search_string,unique_name,approximate_match,ott_id,is_synonym,flags,number_matches,corrected_name
scotoecus hindei,Scotoecus hindei,FALSE,3613731,FALSE,,1,NOTFOUND
scotonycteris ophiodon,Scotonycteris ophiodon,FALSE,3613529,FALSE,,1,Casinycteris_ophiodon
sminthopsis boullangerensis,Sminthopsis boullangerensis,FALSE,3607148,FALSE,,1,NOTFOUND
sorex gaspensis,Sorex gaspensis,FALSE,200880,FALSE,,1,Sorex_dispar
spalax carmeli,Spalax carmeli,FALSE,881882,FALSE,,1,NOTFOUND
spermophilus musicus,Spermophilus musicus,FALSE,782264,FALSE,,1,NOTFOUND
sturnira thomasi,Sturnira thomasi,FALSE,3613601,FALSE,,1,Sturnira_angeli
tachyoryctes ibeanus,Tachyoryctes ibeanus,FALSE,3608561,FALSE,,1,NOTFOUND
tachyoryctes ruandae,Tachyoryctes ruandae,FALSE,3608570,FALSE,,1,NOTFOUND
tamiops mcclellandii,Tamiops mcclellandii,FALSE,843314,FALSE,,1,Tamiops_macclellandii
taurotragus derbianus,Taurotragus derbianus,FALSE,147238,FALSE,,1,Tragelaphus_derbianus
thamnomys major,Thamnomys major,FALSE,3611206,FALSE,,1,NOTFOUND
trachypithecus ebenus,Trachypithecus ebenus,FALSE,3607628,FALSE,,1,NOTFOUND
trichosurus arnhemensis,Trichosurus arnhemensis,FALSE,836539,FALSE,,1,NOTFOUND
trichosurus johnstonii,Trichosurus johnstonii,FALSE,44500,FALSE,,1,NOTFOUND
zaglossus bruijni,Zaglossus bruijni,FALSE,565578,FALSE,,1,Zaglossus_bruijnii
zyzomys palatilis,Zyzomys palatilis,FALSE,399975,FALSE,,1,Zyzomys_palatalis
alcelaphus lichtensteinii,Alcelaphus lichtensteini,FALSE,363033,TRUE,,1,Alcelaphus_buselaphus
aotus hershkovitzi,Aotus lemurinus,FALSE,897634,TRUE,,1,Aotus_lemurinus
bassaricyon lasius,Bassaricyon gabbii,FALSE,178244,TRUE,,1,Bassaricyon_gabbii
bassaricyon pauli,Bassaricyon gabbii,FALSE,178244,TRUE,,1,Bassaricyon_gabbii
bunopithecus hoolock,Hoolock hoolock,FALSE,1029474,TRUE,,1,Hoolock_hoolock
callithrix argentata,Mico argentatus,FALSE,1015228,TRUE,,1,Mico_argentatus
callithrix chrysoleuca,Mico chrysoleucus,FALSE,3607561,TRUE,,1,Mico_chrysoleucus
callithrix emiliae,Mico emiliae,FALSE,488310,TRUE,,1,Mico_emiliae
callithrix humeralifera,Mico humeralifer,FALSE,683993,TRUE,,1,Mico_humeralifer
callithrix intermedia,Mico intermedius,FALSE,3607563,TRUE,,1,Mico_intermedius
callithrix leucippe,Mico leucippe,FALSE,3607564,TRUE,,1,Mico_leucippe
callithrix marcai,Mico marcai,FALSE,3607565,TRUE,,1,Mico_marcai
callithrix mauesi,Mico mauesi,FALSE,341884,TRUE,,1,Mico_mauesi
callithrix melanura,Mico melanurus,FALSE,1031373,TRUE,,1,Mico_melanurus
callithrix nigriceps,Mico nigriceps,FALSE,3607568,TRUE,,1,Mico_nigriceps
cebus apella,Sapajus apella,FALSE,197026,TRUE,,1,Sapajus_apella
cebus libidinosus,Sapajus libidinosus,FALSE,748283,TRUE,,1,Sapajus_libidinosus
cebus nigritus,Sapajus nigritus,FALSE,411831,TRUE,,1,Sapajus_nigritus
cebus xanthosternos,Sapajus xanthosternos,FALSE,331561,TRUE,,1,Sapajus_xanthosternos
cheirogaleus adipicaudatus,Cheirogaleus medius,FALSE,863759,TRUE,,1,Cheirogaleus_medius
cryptomys amatus,Fukomys amatus,FALSE,107128,TRUE,,1,Fukomys_amatus
cryptomys anselli,Fukomys anselli,FALSE,927982,TRUE,,1,Fukomys_anselli
cryptomys bocagei,Fukomys bocagei,FALSE,257746,TRUE,,1,Fukomys_bocagei
cryptomys damarensis,Fukomys damarensis,FALSE,895549,TRUE,,1,Fukomys_damarensis
cryptomys darlingi,Fukomys darlingi,FALSE,257739,TRUE,,1,Fukomys_darlingi
cryptomys mechowi,Fukomys mechowii,FALSE,107104,TRUE,,1,Fukomys_mechowi
cryptomys ochraceocinereus,Fukomys ochraceocinereus,FALSE,927962,TRUE,,1,Fukomys_ochraceocinereus
diplomys rufodorsalis,Santamartamys rufodorsalis,FALSE,3610457,TRUE,,1,Santamartamys_rufodorsalis
echimys semivillosus,Pattonomys semivillosus,FALSE,1002066,TRUE,,1,Pattonomys_semivillosus
echinoprocta rufescens,Coendou rufescens,FALSE,3609665,TRUE,,1,Coendou_rufescens
eptesicus matroka,Neoromicia matroka,FALSE,514381,TRUE,,1,Neoromicia_matroka
erethizon dorsata,Erethizon dorsatus,FALSE,3609645,TRUE,,1,Erethizon_dorsatum
eulemur albocollaris,Eulemur cinereiceps,FALSE,975685,TRUE,,2,Eulemur_cinereiceps
felis manul,Otocolobus manul,FALSE,86183,TRUE,,1,Otocolobus_manul
galago demidoff,Galagoides demidoff,FALSE,653041,TRUE,,1,Galagoides_demidovii
galago nyasae,Galago granti,FALSE,323055,TRUE,,1,Galagoides_granti
galago thomasi,Galagoides thomasi,FALSE,202831,TRUE,,1,Galagoides_thomasi
galago zanzibaricus,Galagoides zanzibaricus,FALSE,552575,TRUE,,2,Galagoides_zanzibaricus
gracilinanus agricolai,Cryptonanus agricolai,FALSE,3606702,TRUE,,1,Cryptonanus_agricolai
hemitragus jayakari,Arabitragus jayakari,FALSE,1068706,TRUE,,1,Arabitragus_jayakari
hydromys habbema,Baiyankamys habbema,FALSE,3608609,TRUE,,1,Baiyankamys_habbema
hydromys shawmayeri,Baiyankamys shawmayeri,FALSE,3608614,TRUE,,1,Baiyankamys_shawmayeri
hypsugo crassulus,Parahypsugo crassulus,FALSE,136222,TRUE,,1,Pipistrellus_crassulus
hypsugo eisentrauti,Parahypsugo eisentrauti,FALSE,635106,TRUE,,1,Pipistrellus_eisentrauti
